"Index","LandAverageTemperature"
"Sep 1830",10.54
"Oct 1830",7.993
"Nov 1830",7.493
"Dec 1830",4.481
"Jan 1831",2.182
"Feb 1831",2.479
"Mar 1831",4.558
"Apr 1831",7.731
"May 1831",10.994
"Jun 1831",13.203
"Jul 1831",13.58
"Aug 1831",12.49
"Sep 1831",9.946
"Oct 1831",7.83
"Nov 1831",4.412
"Dec 1831",2.265
"Jan 1832",1.717
"Feb 1832",1.833
"Mar 1832",4.65
"Apr 1832",8.059
"May 1832",10.489
"Jun 1832",12.857
"Jul 1832",13.727
"Aug 1832",11.966
"Sep 1832",10.426
"Oct 1832",8.634
"Nov 1832",4.262
"Dec 1832",0.782
"Jan 1833",2.006
"Feb 1833",2.815
"Mar 1833",4.521
"Apr 1833",7.869
"May 1833",10.581
"Jun 1833",13.049
"Jul 1833",13.803
"Aug 1833",13.222
"Sep 1833",11.236
"Oct 1833",7.9
"Nov 1833",6.596
"Dec 1833",2.558
"Jan 1834",0.334
"Feb 1834",2.329
"Mar 1834",5.736
"Apr 1834",8.085
"May 1834",11.234
"Jun 1834",12.799
"Jul 1834",14.197
"Aug 1834",13.412
"Sep 1834",11.571
"Oct 1834",8.617
"Nov 1834",6.355
"Dec 1834",3.092
"Jan 1835",2.551
"Feb 1835",2.967
"Mar 1835",4.507
"Apr 1835",7.769
"May 1835",10.171
"Jun 1835",12.007
"Jul 1835",13.129
"Aug 1835",12.322
"Sep 1835",9.942
"Oct 1835",7.835
"Nov 1835",4.312
"Dec 1835",1.198
"Jan 1836",1.67
"Feb 1836",2.371
"Mar 1836",5.448
"Apr 1836",7.315
"May 1836",10.279
"Jun 1836",12.549
"Jul 1836",13.646
"Aug 1836",12.83
"Sep 1836",10.812
"Oct 1836",8.756
"Nov 1836",3.814
"Dec 1836",2.86
"Jan 1837",1.94
"Feb 1837",2.619
"Mar 1837",3.865
"Apr 1837",6.556
"May 1837",9.973
"Jun 1837",12.099
"Jul 1837",13.526
"Aug 1837",13.018
"Sep 1837",10.805
"Oct 1837",7.653
"Nov 1837",4.169
"Dec 1837",2.285
"Jan 1838",-0.557
"Feb 1838",1.563
"Mar 1838",3.723
"Apr 1838",7.383
"May 1838",9.985
"Jun 1838",12.742
"Jul 1838",14.367
"Aug 1838",13.568
"Sep 1838",11.106
"Oct 1838",8.526
"Nov 1838",5.16
"Dec 1838",2.613
"Jan 1839",2.156
"Feb 1839",3.482
"Mar 1839",2.673
"Apr 1839",7.892
"May 1839",10.289
